rgn_id,sciname,iucn_sid,year,eval_yr,category
1,Alopias vulpinus,39339,2018,2009,VU
1,Balaenoptera acutorostrata,2474,2018,2008,LC
1,Balaenoptera musculus,2477,2018,2008,EN
1,Balaenoptera physalus,2478,2018,2013,EN
1,Caretta caretta,3897,2018,2017,VU
1,Caretta caretta,84156809,2018,2015,CR
1,Cetorhinus maximus,4292,2018,2009,VU
1,Chelonia mydas,4615,2018,2004,EN
1,Dermochelys coriacea,6494,2018,2013,VU
1,Dermochelys coriacea,46967807,2018,2013,CR
1,Eretmochelys imbricata,8005,2018,2008,CR
1,Galeocerdo cuvier,39378,2018,2009,NT
1,Isurus oxyrinchus,39341,2018,2009,VU
1,Isurus oxyrinchus,161751,2018,2009,NT
1,Lepidochelys olivacea,11534,2018,2008,VU
1,Megachasma pelagios,39338,2018,2015,LC
1,Megaptera novaeangliae,13006,2018,2008,LC
1,Prionace glauca,39381,2018,2009,NT
1,Rhincodon typus,19488,2018,2016,EN
1,Steno bredanensis,20738,2018,2012,LC
1,Alopias vulpinus,39339,2017,2009,VU
1,Balaenoptera acutorostrata,2474,2017,2008,LC
1,Balaenoptera musculus,2477,2017,2008,EN
1,Balaenoptera physalus,2478,2017,2013,EN
1,Caretta caretta,3897,2017,2017,VU
1,Caretta caretta,84156809,2017,2015,CR
1,Cetorhinus maximus,4292,2017,2009,VU
1,Chelonia mydas,4615,2017,2004,EN
1,Dermochelys coriacea,6494,2017,2013,VU
1,Dermochelys coriacea,46967807,2017,2013,CR
1,Eretmochelys imbricata,8005,2017,2008,CR
1,Galeocerdo cuvier,39378,2017,2009,NT
1,Isurus oxyrinchus,39341,2017,2009,VU
1,Isurus oxyrinchus,161751,2017,2009,NT
1,Lepidochelys olivacea,11534,2017,2008,VU
1,Megachasma pelagios,39338,2017,2015,LC
1,Megaptera novaeangliae,13006,2017,2008,LC
1,Prionace glauca,39381,2017,2009,NT
1,Rhincodon typus,19488,2017,2016,EN
1,Steno bredanensis,20738,2017,2012,LC
1,Alopias vulpinus,39339,2016,2009,VU
1,Balaenoptera acutorostrata,2474,2016,2008,LC
1,Balaenoptera musculus,2477,2016,2008,EN
1,Balaenoptera physalus,2478,2016,2013,EN
1,Caretta caretta,3897,2016,2015,VU
1,Caretta caretta,84156809,2016,2015,CR
1,Cetorhinus maximus,4292,2016,2009,VU
1,Chelonia mydas,4615,2016,2004,EN
1,Dermochelys coriacea,6494,2016,2013,VU
1,Dermochelys coriacea,46967807,2016,2013,CR
1,Eretmochelys imbricata,8005,2016,2008,CR
1,Galeocerdo cuvier,39378,2016,2009,NT
1,Isurus oxyrinchus,39341,2016,2009,VU
1,Isurus oxyrinchus,161751,2016,2009,NT
1,Lepidochelys olivacea,11534,2016,2008,VU
1,Megachasma pelagios,39338,2016,2015,LC
1,Megaptera novaeangliae,13006,2016,2008,LC
1,Prionace glauca,39381,2016,2009,NT
1,Rhincodon typus,19488,2016,2016,EN
1,Steno bredanensis,20738,2016,2012,LC
1,Alopias vulpinus,39339,2015,2009,VU
1,Balaenoptera acutorostrata,2474,2015,2008,LC
1,Balaenoptera musculus,2477,2015,2008,EN
1,Balaenoptera physalus,2478,2015,2013,EN
1,Caretta caretta,3897,2015,2015,VU
1,Caretta caretta,84156809,2015,2015,CR
1,Cetorhinus maximus,4292,2015,2009,VU
1,Chelonia mydas,4615,2015,2004,EN
1,Dermochelys coriacea,6494,2015,2013,VU
1,Dermochelys coriacea,46967807,2015,2013,CR
1,Eretmochelys imbricata,8005,2015,2008,CR
1,Galeocerdo cuvier,39378,2015,2009,NT
1,Isurus oxyrinchus,39341,2015,2009,VU
1,Isurus oxyrinchus,161751,2015,2009,NT
1,Lepidochelys olivacea,11534,2015,2008,VU
1,Megachasma pelagios,39338,2015,2015,LC
1,Megaptera novaeangliae,13006,2015,2008,LC
1,Prionace glauca,39381,2015,2009,NT
1,Rhincodon typus,19488,2015,2005,VU
1,Steno bredanensis,20738,2015,2012,LC
1,Alopias vulpinus,39339,2014,2009,VU
1,Balaenoptera acutorostrata,2474,2014,2008,LC
1,Balaenoptera musculus,2477,2014,2008,EN
1,Balaenoptera physalus,2478,2014,2013,EN
1,Caretta caretta,3897,2014,1996,EN
1,Caretta caretta,84156809,2014,,CR
1,Cetorhinus maximus,4292,2014,2009,VU
1,Chelonia mydas,4615,2014,2004,EN
1,Dermochelys coriacea,6494,2014,2013,VU
1,Dermochelys coriacea,46967807,2014,2013,CR
1,Eretmochelys imbricata,8005,2014,2008,CR
1,Galeocerdo cuvier,39378,2014,2009,NT
1,Isurus oxyrinchus,39341,2014,2009,VU
1,Isurus oxyrinchus,161751,2014,2009,NT
1,Lepidochelys olivacea,11534,2014,2008,VU
1,Megachasma pelagios,39338,2014,,LC
1,Megaptera novaeangliae,13006,2014,2008,LC
1,Prionace glauca,39381,2014,2009,NT
1,Rhincodon typus,19488,2014,2005,VU
1,Steno bredanensis,20738,2014,2012,LC
1,Alopias vulpinus,39339,2013,2009,VU
1,Balaenoptera acutorostrata,2474,2013,2008,LC
1,Balaenoptera musculus,2477,2013,2008,EN
1,Balaenoptera physalus,2478,2013,2013,EN
1,Caretta caretta,3897,2013,1996,EN
1,Caretta caretta,84156809,2013,,CR
1,Cetorhinus maximus,4292,2013,2009,VU
1,Chelonia mydas,4615,2013,2004,EN
1,Dermochelys coriacea,6494,2013,2013,VU
1,Dermochelys coriacea,46967807,2013,2013,CR
1,Eretmochelys imbricata,8005,2013,2008,CR
1,Galeocerdo cuvier,39378,2013,2009,NT
1,Isurus oxyrinchus,39341,2013,2009,VU
1,Isurus oxyrinchus,161751,2013,2009,NT
1,Lepidochelys olivacea,11534,2013,2008,VU
1,Megachasma pelagios,39338,2013,,LC
1,Megaptera novaeangliae,13006,2013,2008,LC
1,Prionace glauca,39381,2013,2009,NT
1,Rhincodon typus,19488,2013,2005,VU
1,Steno bredanensis,20738,2013,2012,LC
1,Alopias vulpinus,39339,2012,2009,VU
1,Balaenoptera acutorostrata,2474,2012,2008,LC
1,Balaenoptera musculus,2477,2012,2008,EN
1,Balaenoptera physalus,2478,2012,2008,EN
1,Caretta caretta,3897,2012,1996,EN
